suite,path_shape,repeat,conditions,task_success_rate,survival_rate,strict_arrival_rate,base_failure_rate,active_cross_track_rmse_m,active_cross_track_p95_m,active_cross_track_max_m,active_height_mae_m,arrival_speed_abs_error_m_s
ood_fast_crouch_to_walk,ood_arc,0,3,0.6666666666666666,1.0,1.0,0.0,0.06556848202557859,0.12141748790939648,0.13326757649580637,0.025122334461542484,0.07887032655170005
ood_fast_crouch_to_walk,ood_corner,0,3,0.6666666666666666,1.0,1.0,0.0,0.08520154497764736,0.1822488478074471,0.2083290914694468,0.03458908497172956,0.08431816160354617
ood_fast_crouch_to_walk,ood_s_curve,0,3,0.6666666666666666,1.0,1.0,0.0,0.09412873655196281,0.16447812517484028,0.1779598444700241,0.02548743712563981,0.05992284752258211
ood_fast_walk_to_crouch,ood_arc,0,3,0.3333333333333333,1.0,1.0,0.0,0.0624584183884954,0.12200396098196505,0.1321735829114914,0.051857429574140246,0.10495447145584387
ood_fast_walk_to_crouch,ood_corner,0,3,0.0,1.0,1.0,0.0,0.20588736631748192,0.364080665508906,0.3983765294154485,0.050954029445928334,0.16957457942095824
ood_fast_walk_to_crouch,ood_s_curve,0,3,0.3333333333333333,1.0,1.0,0.0,0.1475175658452153,0.2517260670661926,0.27191081643104553,0.041609621430456795,0.14937761138708272
